config,n_docs,depth_mean,depth_std,breadth_mean,breadth_std,rigor_mean,rigor_std,innovation_mean,innovation_std,gap_mean,gap_std,overall_mean,overall_std
d1_b1,49,0.76449,0.258276,0.891633,0.121912,0.794694,0.173818,0.912857,0.047423,0.777551,0.245187,0.828245,0.097537
d1_b4,49,0.78898,0.20172,0.929388,0.043538,0.744082,0.175207,0.908163,0.056916,0.753673,0.253552,0.824857,0.083428
d4_b1,49,0.755918,0.254293,0.914082,0.066668,0.724694,0.202264,0.918367,0.045685,0.786735,0.202831,0.819959,0.082114
d4_b4,49,0.783469,0.249314,0.933265,0.045463,0.813469,0.144527,0.92102,0.033335,0.793061,0.230812,0.848857,0.075722
