config,n_docs,depth_mean,depth_std,breadth_mean,breadth_std,rigor_mean,rigor_std,innovation_mean,innovation_std,gap_mean,gap_std,overall_mean,overall_std
d1_b1,49,0.615714,0.126797,0.730612,0.087421,0.461633,0.116046,0.637551,0.088699,0.710204,0.099867,0.631143,0.056297
d1_b4,49,0.640408,0.115475,0.790612,0.105006,0.492857,0.110804,0.624694,0.087973,0.737959,0.108043,0.657306,0.065669
d4_b1,49,0.633469,0.158224,0.81551,0.089604,0.519796,0.089408,0.664286,0.091048,0.725714,0.118442,0.671755,0.072435
d4_b4,49,0.695306,0.127601,0.86898,0.106085,0.602653,0.105517,0.682449,0.091952,0.75102,0.108369,0.720082,0.048748
