config,n_docs,word_count_mean,word_count_std,word_count_min,word_count_max,char_count_mean,char_count_std,char_count_min,char_count_max,source_count_mean,source_count_std,source_count_min,source_count_max,section_count_mean,section_count_std,section_count_min,section_count_max,sources_per_1k_mean,sources_per_1k_std,sources_per_1k_min,sources_per_1k_max,mechanistic_hits_mean,mechanistic_hits_std,mechanistic_hits_min,mechanistic_hits_max,causal_hits_mean,causal_hits_std,causal_hits_min,causal_hits_max,region_hits_mean,region_hits_std,region_hits_min,region_hits_max,intervention_hits_mean,intervention_hits_std,intervention_hits_min,intervention_hits_max,diversity_hits_mean,diversity_hits_std,diversity_hits_min,diversity_hits_max,services_hits_mean,services_hits_std,services_hits_min,services_hits_max,scales_hits_mean,scales_hits_std,scales_hits_min,scales_hits_max,temporal_precision_mean,temporal_precision_std,temporal_precision_min,temporal_precision_max,stats_hits_mean,stats_hits_std,stats_hits_min,stats_hits_max,uncertainty_hits_mean,uncertainty_hits_std,uncertainty_hits_min,uncertainty_hits_max,speculative_hits_mean,speculative_hits_std,speculative_hits_min,speculative_hits_max,innovation_term_hits_mean,innovation_term_hits_std,innovation_term_hits_min,innovation_term_hits_max,gap_hits_mean,gap_hits_std,gap_hits_min,gap_hits_max,depth_mechanistic_cov_mean,depth_mechanistic_cov_std,depth_mechanistic_cov_min,depth_mechanistic_cov_max,depth_causal_cov_mean,depth_causal_cov_std,depth_causal_cov_min,depth_causal_cov_max,depth_temp_precision_mean,depth_temp_precision_std,depth_temp_precision_min,depth_temp_precision_max,breadth_regions_cov_mean,breadth_regions_cov_std,breadth_regions_cov_min,breadth_regions_cov_max,breadth_interventions_cov_mean,breadth_interventions_cov_std,breadth_interventions_cov_min,breadth_interventions_cov_max,breadth_diversity_cov_mean,breadth_diversity_cov_std,breadth_diversity_cov_min,breadth_diversity_cov_max,breadth_services_cov_mean,breadth_services_cov_std,breadth_services_cov_min,breadth_services_cov_max,breadth_scales_cov_mean,breadth_scales_cov_std,breadth_scales_cov_min,breadth_scales_cov_max,rigor_stats_cov_mean,rigor_stats_cov_std,rigor_stats_cov_min,rigor_stats_cov_max,rigor_uncertainty_cov_mean,rigor_uncertainty_cov_std,rigor_uncertainty_cov_min,rigor_uncertainty_cov_max,innovation_speculative_mean,innovation_speculative_std,innovation_speculative_min,innovation_speculative_max,innovation_terms_cov_mean,innovation_terms_cov_std,innovation_terms_cov_min,innovation_terms_cov_max,gap_score_mean,gap_score_std,gap_score_min,gap_score_max,depth_score_mean,depth_score_std,depth_score_min,depth_score_max,breadth_score_mean,breadth_score_std,breadth_score_min,breadth_score_max,rigor_score_mean,rigor_score_std,rigor_score_min,rigor_score_max,innovation_score_mean,innovation_score_std,innovation_score_min,innovation_score_max,info_density_mean,info_density_std,info_density_min,info_density_max,overall_quality_mean,overall_quality_std,overall_quality_min,overall_quality_max,depth_mean,depth_std,depth_min,depth_max,breadth_mean,breadth_std,breadth_min,breadth_max
d1_b1,49,1680.857,214.321,1245.0,2337.0,13406.918,1696.101,10025.0,18168.0,9.796,1.384,4.0,12.0,8.592,0.977,6.0,10.0,5.909,1.089,2.586,8.835,5.49,2.583,1.0,11.0,3.163,1.196,1.0,6.0,1.98,1.702,0.0,6.0,1.49,1.583,0.0,5.0,2.102,1.544,0.0,6.0,0.918,1.057,0.0,4.0,5.265,1.705,1.0,8.0,0.557,0.123,0.231,0.731,1.163,0.825,0.0,4.0,0.184,0.391,0.0,1.0,0.0,0.0,0.0,0.0,3.531,1.43,0.0,6.0,0.082,0.277,0.0,1.0,0.203,0.096,0.037,0.407,0.151,0.057,0.048,0.286,0.557,0.123,0.231,0.731,0.068,0.059,0.0,0.207,0.051,0.055,0.0,0.172,0.1,0.074,0.0,0.286,0.042,0.048,0.0,0.182,0.585,0.189,0.111,0.889,0.068,0.049,0.0,0.235,0.061,0.13,0.0,0.333,0.0,0.0,0.0,0.0,0.272,0.11,0.0,0.462,0.027,0.092,0.0,0.333,0.294,0.055,0.176,0.412,0.12,0.04,0.033,0.211,0.066,0.051,0.0,0.189,0.13,0.053,0.0,0.222,0.118,0.022,0.052,0.177,0.159,0.027,0.09,0.208,1.0,0.0,1,1,1.0,0.0,1,1
d1_b4,49,1722.653,195.467,1387.0,2260.0,14372.816,1481.425,11570.0,18027.0,25.0,6.674,9.0,39.0,9.306,1.31,7.0,13.0,14.739,4.308,5.048,22.35,4.367,2.767,1.0,13.0,3.204,1.307,1.0,6.0,2.184,1.467,0.0,7.0,1.429,1.369,0.0,6.0,2.653,2.204,0.0,8.0,0.939,1.069,0.0,5.0,5.204,1.708,1.0,8.0,0.733,0.122,0.44,0.94,1.367,0.668,0.0,3.0,0.163,0.373,0.0,1.0,0.0,0.0,0.0,0.0,3.531,1.416,0.0,7.0,0.061,0.242,0.0,1.0,0.162,0.102,0.037,0.481,0.153,0.062,0.048,0.286,0.733,0.122,0.44,0.94,0.075,0.051,0.0,0.241,0.049,0.047,0.0,0.207,0.126,0.105,0.0,0.381,0.043,0.049,0.0,0.227,0.578,0.19,0.111,0.889,0.08,0.039,0.0,0.176,0.054,0.124,0.0,0.333,0.0,0.0,0.0,0.0,0.272,0.109,0.0,0.538,0.02,0.081,0.0,0.333,0.33,0.048,0.236,0.443,0.127,0.051,0.011,0.255,0.072,0.051,0.0,0.228,0.13,0.052,0.0,0.258,0.295,0.086,0.101,0.447,0.173,0.025,0.112,0.227,1.0,0.0,1,1,4.0,0.0,4,4
d4_b1,49,1686.755,186.963,1327.0,2299.0,14374.776,1391.511,11636.0,19191.0,31.367,5.522,16.0,42.0,9.163,1.264,7.0,14.0,18.833,4.044,10.217,27.51,4.796,2.179,1.0,11.0,3.286,1.339,1.0,7.0,2.408,2.04,0.0,8.0,1.388,1.397,0.0,5.0,2.347,1.974,0.0,8.0,0.878,0.832,0.0,3.0,5.408,1.442,3.0,9.0,0.799,0.076,0.6,0.974,1.429,1.08,0.0,4.0,0.306,0.466,0.0,1.0,0.0,0.0,0.0,0.0,3.796,1.62,1.0,9.0,0.041,0.2,0.0,1.0,0.178,0.081,0.037,0.407,0.156,0.064,0.048,0.333,0.799,0.076,0.6,0.974,0.083,0.07,0.0,0.276,0.048,0.048,0.0,0.172,0.112,0.094,0.0,0.381,0.04,0.038,0.0,0.136,0.601,0.16,0.333,1.0,0.084,0.064,0.0,0.235,0.102,0.155,0.0,0.333,0.0,0.0,0.0,0.0,0.292,0.125,0.077,0.692,0.014,0.067,0.0,0.333,0.358,0.041,0.269,0.479,0.127,0.044,0.045,0.226,0.09,0.07,0.0,0.268,0.14,0.06,0.037,0.332,0.377,0.081,0.204,0.55,0.185,0.022,0.143,0.226,4.0,0.0,4,4,1.0,0.0,1,1
d4_b4,49,2125.347,264.023,1482.0,2798.0,23817.388,2947.189,15714.0,29588.0,180.184,32.502,99.0,239.0,9.51,1.488,7.0,14.0,85.212,14.756,53.61,116.216,5.347,2.983,0.0,13.0,3.306,1.584,1.0,8.0,2.755,2.087,0.0,9.0,1.898,1.475,0.0,5.0,3.061,2.349,0.0,8.0,0.98,1.01,0.0,5.0,5.735,1.455,2.0,8.0,0.951,0.02,0.89,0.983,1.367,1.093,0.0,5.0,0.449,0.503,0.0,1.0,0.0,0.0,0.0,0.0,4.551,1.659,1.0,8.0,0.224,0.468,0.0,2.0,0.198,0.11,0.0,0.481,0.157,0.075,0.048,0.381,0.951,0.02,0.89,0.983,0.095,0.072,0.0,0.31,0.065,0.051,0.0,0.172,0.146,0.112,0.0,0.381,0.045,0.046,0.0,0.227,0.637,0.162,0.222,0.889,0.08,0.064,0.0,0.294,0.15,0.168,0.0,0.333,0.0,0.0,0.0,0.0,0.35,0.128,0.077,0.615,0.075,0.156,0.0,0.667,0.412,0.054,0.322,0.538,0.147,0.052,0.041,0.273,0.103,0.065,0.0,0.268,0.168,0.061,0.037,0.295,1.0,0.0,1.0,1.0,0.219,0.028,0.146,0.284,4.0,0.0,4,4,4.0,0.0,4,4
