config,n_docs,word_count_mean,word_count_std,word_count_min,word_count_max,char_count_mean,char_count_std,char_count_min,char_count_max,source_count_mean,source_count_std,source_count_min,source_count_max,section_count_mean,section_count_std,section_count_min,section_count_max,formal_citations_mean,formal_citations_std,formal_citations_min,formal_citations_max,percentage_values_mean,percentage_values_std,percentage_values_min,percentage_values_max,nlp_tasks_cov_mean,nlp_tasks_cov_std,nlp_tasks_cov_min,nlp_tasks_cov_max,nlp_datasets_cov_mean,nlp_datasets_cov_std,nlp_datasets_cov_min,nlp_datasets_cov_max,nlp_langs_cov_mean,nlp_langs_cov_std,nlp_langs_cov_min,nlp_langs_cov_max,nlp_eval_cov_mean,nlp_eval_cov_std,nlp_eval_cov_min,nlp_eval_cov_max,nlp_arch_detail_mean,nlp_arch_detail_std,nlp_arch_detail_min,nlp_arch_detail_max,nlp_train_detail_mean,nlp_train_detail_std,nlp_train_detail_min,nlp_train_detail_max,nlp_ablation_mean,nlp_ablation_std,nlp_ablation_min,nlp_ablation_max,nlp_rigor_stats_mean,nlp_rigor_stats_std,nlp_rigor_stats_min,nlp_rigor_stats_max,nlp_repro_mean,nlp_repro_std,nlp_repro_min,nlp_repro_max,nlp_safety_mean,nlp_safety_std,nlp_safety_min,nlp_safety_max,nlp_reporting_mean,nlp_reporting_std,nlp_reporting_min,nlp_reporting_max,temporal_precision_mean,temporal_precision_std,temporal_precision_min,temporal_precision_max,depth_score_mean,depth_score_std,depth_score_min,depth_score_max,breadth_score_mean,breadth_score_std,breadth_score_min,breadth_score_max,rigor_score_mean,rigor_score_std,rigor_score_min,rigor_score_max,innovation_score_mean,innovation_score_std,innovation_score_min,innovation_score_max,repro_safety_score_mean,repro_safety_score_std,repro_safety_score_min,repro_safety_score_max,info_density_mean,info_density_std,info_density_min,info_density_max,reporting_specificity_mean,reporting_specificity_std,reporting_specificity_min,reporting_specificity_max,overall_quality_mean,overall_quality_std,overall_quality_min,overall_quality_max,depth_mean,depth_std,depth_min,depth_max,breadth_mean,breadth_std,breadth_min,breadth_max
d1_b1,49,1478.265,178.727,1113.0,1785.0,11460.571,1242.659,8334.0,13483.0,8.755,3.052,0.0,11.0,12.286,2.0,3.0,16.0,4.204,3.329,0.0,13.0,6.592,4.756,0.0,27.0,3.939,2.035,1.0,10.0,0.49,0.794,0.0,3.0,1.531,2.103,0.0,7.0,2.367,1.642,0.0,7.0,0.551,0.679,0.0,2.0,1.878,1.252,0.0,5.0,0.286,0.54,0.0,2.0,18.449,9.461,2.0,44.0,0.755,0.751,0.0,3.0,1.816,1.302,0.0,6.0,0.776,0.743,0.0,3.0,0.0,0.0,0.0,0.0,0.016,0.049,0.0,0.182,0.134,0.077,0.015,0.307,0.754,0.075,0.37,0.895,0.165,0.07,0.027,0.318,0.197,0.112,0.0,0.467,0.15,0.056,0.0,0.225,0.078,0.074,0.0,0.3,0.255,0.029,0.194,0.32,1.0,0.0,1,1,1.0,0.0,1,1
d1_b4,49,1574.02,159.008,1165.0,1958.0,13293.245,1311.667,10378.0,15875.0,35.612,7.82,0.0,40.0,12.265,1.381,9.0,16.0,5.347,4.126,0.0,16.0,6.306,4.36,0.0,19.0,3.449,2.328,0.0,10.0,0.449,0.959,0.0,5.0,1.612,2.09,0.0,7.0,2.245,1.665,0.0,7.0,0.51,0.711,0.0,2.0,1.51,1.309,0.0,6.0,0.224,0.511,0.0,2.0,21.184,9.539,4.0,50.0,1.02,0.946,0.0,4.0,1.429,1.242,0.0,5.0,0.898,0.872,0.0,3.0,0.0,0.0,0.0,0.0,0.005,0.027,0.0,0.152,0.125,0.08,0.0,0.327,0.777,0.065,0.65,0.94,0.205,0.073,0.048,0.387,0.197,0.138,0.0,0.633,0.571,0.138,0.0,0.815,0.09,0.087,0.0,0.3,0.287,0.037,0.219,0.366,1.0,0.0,1,1,4.0,0.0,4,4
d4_b1,49,1540.531,152.973,1278.0,1878.0,12857.939,1061.881,10688.0,15740.0,29.857,8.505,0.0,40.0,12.408,1.513,9.0,17.0,4.612,3.746,0.0,17.0,8.143,6.742,0.0,30.0,3.184,2.098,0.0,10.0,0.265,0.531,0.0,2.0,1.776,2.543,0.0,9.0,2.735,1.44,0.0,5.0,0.51,0.711,0.0,3.0,1.673,1.125,0.0,4.0,0.51,0.649,0.0,2.0,19.939,10.961,8.0,52.0,0.837,0.746,0.0,3.0,1.531,1.34,0.0,5.0,1.082,0.975,0.0,3.0,0.0,0.0,0.0,0.0,0.028,0.062,0.0,0.208,0.131,0.081,0.015,0.343,0.769,0.056,0.7,0.955,0.233,0.083,0.01,0.42,0.186,0.128,0.0,0.633,0.488,0.149,0.0,0.782,0.108,0.098,0.0,0.3,0.29,0.039,0.205,0.406,4.0,0.0,4,4,1.0,0.0,1,1
d4_b4,49,2204.0,280.203,1786.0,2936.0,25883.633,2379.164,21657.0,31248.0,209.49,35.793,0.0,240.0,10.898,3.754,3.0,15.0,8.531,7.174,0.0,31.0,12.796,6.393,2.0,35.0,3.796,2.071,0.0,8.0,0.469,0.819,0.0,3.0,1.878,2.342,0.0,8.0,2.449,1.595,0.0,6.0,0.959,0.935,0.0,3.0,1.612,1.367,0.0,5.0,0.265,0.446,0.0,1.0,44.816,12.75,24.0,76.0,1.0,0.913,0.0,4.0,1.551,1.174,0.0,4.0,1.163,1.007,0.0,4.0,0.0,0.0,0.0,0.0,0.033,0.068,0.0,0.238,0.139,0.079,0.013,0.32,0.821,0.091,0.7,1.0,0.296,0.071,0.148,0.475,0.203,0.112,0.0,0.467,0.98,0.143,0.0,1.0,0.116,0.101,0.0,0.4,0.345,0.04,0.263,0.441,4.0,0.0,4,4,4.0,0.0,4,4
