,"('o3', 1, 1, 'orkg')","('o3', 1, 4, 'orkg')","('o3', 4, 1, 'orkg')","('o3', 4, 4, 'orkg')","('o3-mini', 1, 1, 'orkg')","('o3-mini', 1, 4, 'orkg')","('o3-mini', 4, 1, 'orkg')","('o3-mini', 4, 4, 'orkg')"
"('o3', 1, 1, 'orkg')",1.0,0.13056906117245282,0.13030067333149248,0.08634259617693522,0.11900388048100362,0.11686680662717834,0.11674234722119994,0.09058822330807197
"('o3', 1, 4, 'orkg')",0.13056906117245282,1.0,0.14198450883973526,0.11922610196024602,0.11865248211294653,0.13356942456519952,0.12973554623577838,0.12228344842437609
"('o3', 4, 1, 'orkg')",0.13030067333149248,0.14198450883973526,1.0,0.11268453302421849,0.11783423179320786,0.1298442560248189,0.12799200689059526,0.11627710379484818
"('o3', 4, 4, 'orkg')",0.08634259617693522,0.11922610196024602,0.11268453302421849,1.0,0.08513221105230469,0.11503415102843355,0.1068485031652072,0.1736696874976622
"('o3-mini', 1, 1, 'orkg')",0.11900388048100362,0.11865248211294653,0.11783423179320786,0.08513221105230469,1.0,0.17255780329639067,0.1712622408234971,0.12821405888889373
"('o3-mini', 1, 4, 'orkg')",0.11686680662717834,0.13356942456519952,0.1298442560248189,0.11503415102843355,0.17255780329639067,1.0,0.17868011246849347,0.1589980697038429
"('o3-mini', 4, 1, 'orkg')",0.11674234722119994,0.12973554623577838,0.12799200689059526,0.1068485031652072,0.1712622408234971,0.17868011246849347,1.0,0.15372358798472355
"('o3-mini', 4, 4, 'orkg')",0.09058822330807197,0.12228344842437609,0.11627710379484818,0.1736696874976622,0.12821405888889373,0.1589980697038429,0.15372358798472355,1.0
