,"('o3', 1, 1, 'orkg')","('o3', 1, 4, 'orkg')","('o3', 4, 1, 'orkg')","('o3', 4, 4, 'orkg')","('o3-mini', 1, 1, 'orkg')","('o3-mini', 1, 4, 'orkg')","('o3-mini', 4, 1, 'orkg')","('o3-mini', 4, 4, 'orkg')"
"('o3', 1, 1, 'orkg')",0.0,0.3346193811804123,0.3332773192568292,0.4059768786012773,0.40780180760989904,0.40603873053183726,0.4048351342277804,0.4246410259865247
"('o3', 1, 4, 'orkg')",0.33461938118041235,0.0,0.3142007638302042,0.3569334348261458,0.412187331916202,0.38101633950303126,0.38324867550117575,0.3792872181391891
"('o3', 4, 1, 'orkg')",0.33327731925682924,0.31420076383020423,0.0,0.3685269103153739,0.41197919629925245,0.3860678539127802,0.3868310437832115,0.38988169919757215
"('o3', 4, 4, 'orkg')",0.40597687860127724,0.35693343482614587,0.3685269103153738,0.0,0.45090869723707616,0.4008141076090011,0.40657942156499366,0.2879773723338333
"('o3-mini', 1, 1, 'orkg')",0.40780180760989904,0.412187331916202,0.41197919629925245,0.45090869723707616,0.0,0.3331774949776542,0.33258539325114705,0.4248614633504564
"('o3-mini', 1, 4, 'orkg')",0.40603873053183726,0.3810163395030312,0.3860678539127803,0.4008141076090011,0.33317749497765425,0.0,0.30432911297615134,0.36397023297833253
"('o3-mini', 4, 1, 'orkg')",0.4048351342277804,0.3832486755011757,0.3868310437832115,0.40657942156499366,0.33258539325114705,0.3043291129761513,0.0,0.372874302600664
"('o3-mini', 4, 4, 'orkg')",0.4246410259865247,0.3792872181391892,0.38988169919757215,0.28797737233383336,0.4248614633504564,0.36397023297833253,0.372874302600664,0.0
