config,n_docs,depth_mean,depth_std,breadth_mean,breadth_std,rigor_mean,rigor_std,innovation_mean,innovation_std,gap_mean,gap_std,overall_mean,overall_std
d1_b1,49,0.304694,0.15601,0.593469,0.235992,0.406531,0.174398,0.797143,0.139167,0.669184,0.182128,0.554204,0.086664
d1_b4,49,0.274694,0.167784,0.722245,0.216166,0.412449,0.155268,0.732245,0.163598,0.637347,0.19149,0.555796,0.081547
d4_b1,49,0.306122,0.168509,0.626939,0.236585,0.428163,0.200445,0.729184,0.185833,0.666735,0.165337,0.551429,0.09951
d4_b4,49,0.250204,0.173775,0.759796,0.226972,0.51551,0.159733,0.681429,0.176242,0.68898,0.172783,0.579184,0.093251
