,o3_orkg_d1_b1,o3_orkg_d1_b4,o3_orkg_d4_b1,o3_orkg_d4_b4,o3-mini_orkg_d1_b1,o3-mini_orkg_d1_b4,o3-mini_orkg_d4_b1,o3-mini_orkg_d4_b4
o3_orkg_d1_b1,0.000000,0.203214,0.200202,0.199228,0.205325,0.204788,0.222001,0.222037
o3_orkg_d1_b4,0.203214,0.000000,0.207244,0.201357,0.212473,0.205072,0.222184,0.227899
o3_orkg_d4_b1,0.200202,0.207244,0.000000,0.205769,0.223660,0.223327,0.230337,0.235165
o3_orkg_d4_b4,0.199228,0.201357,0.205769,0.000000,0.210843,0.208821,0.226468,0.212233
o3-mini_orkg_d1_b1,0.205325,0.212473,0.223660,0.210843,0.000000,0.141012,0.150101,0.173042
o3-mini_orkg_d1_b4,0.204788,0.205072,0.223327,0.208821,0.141012,0.000000,0.153469,0.162557
o3-mini_orkg_d4_b1,0.222001,0.222184,0.230337,0.226468,0.150101,0.153469,0.000000,0.170891
o3-mini_orkg_d4_b4,0.222037,0.227899,0.235165,0.212233,0.173042,0.162557,0.170891,0.000000
