,o3_orkg_d1_b1,o3_orkg_d1_b4,o3_orkg_d4_b1,o3_orkg_d4_b4,o3-mini_orkg_d1_b1,o3-mini_orkg_d1_b4,o3-mini_orkg_d4_b1,o3-mini_orkg_d4_b4
o3_orkg_d1_b1,0.0000,0.3852,0.3865,0.4114,0.4363,0.4344,0.4374,0.4436
o3_orkg_d1_b4,0.3852,0.0000,0.3847,0.4032,0.4333,0.4301,0.4335,0.4360
o3_orkg_d4_b1,0.3865,0.3847,0.0000,0.4035,0.4319,0.4282,0.4303,0.4345
o3_orkg_d4_b4,0.4114,0.4032,0.4035,0.0000,0.4491,0.4432,0.4454,0.4124
o3-mini_orkg_d1_b1,0.4363,0.4333,0.4319,0.4491,0.0000,0.3217,0.3310,0.3578
o3-mini_orkg_d1_b4,0.4344,0.4301,0.4282,0.4432,0.3217,0.0000,0.3282,0.3473
o3-mini_orkg_d4_b1,0.4374,0.4335,0.4303,0.4454,0.3310,0.3282,0.0000,0.3467
o3-mini_orkg_d4_b4,0.4436,0.4360,0.4345,0.4124,0.3578,0.3473,0.3467,0.0000
