config,n_docs,depth_mean,depth_std,breadth_mean,breadth_std,rigor_mean,rigor_std,innovation_mean,innovation_std,gap_mean,gap_std,overall_mean,overall_std
d1_b1,49,0.667551,0.088145,0.724898,0.075893,0.549796,0.094101,0.681429,0.0714,0.723061,0.108744,0.669347,0.043602
d1_b4,49,0.67449,0.099633,0.787959,0.064901,0.559388,0.094813,0.686531,0.063166,0.728776,0.10366,0.687429,0.049305
d4_b1,49,0.67449,0.10975,0.793061,0.069376,0.586939,0.076029,0.690408,0.080735,0.717551,0.100031,0.69249,0.049047
d4_b4,49,0.713878,0.087943,0.837959,0.057923,0.630816,0.068119,0.739184,0.08332,0.706939,0.105873,0.725755,0.042397
