config,n_docs,depth_mean,depth_std,breadth_mean,breadth_std,rigor_mean,rigor_std,innovation_mean,innovation_std,gap_mean,gap_std,overall_mean,overall_std
d1_b1,49,0.789184,0.093696,0.868776,0.054159,0.710408,0.084297,0.881633,0.055709,0.894286,0.051627,0.828857,0.032112
d1_b4,49,0.758776,0.091062,0.845918,0.050017,0.677755,0.066984,0.894286,0.049405,0.894082,0.070766,0.814163,0.031695
d4_b1,49,0.768571,0.085141,0.84102,0.06142,0.69,0.07016,0.860204,0.065636,0.877143,0.095576,0.807388,0.036303
d4_b4,49,0.74551,0.074095,0.871224,0.039364,0.693878,0.084027,0.893673,0.046585,0.892449,0.06186,0.819347,0.035595
