config,n_docs,depth_mean,depth_std,breadth_mean,breadth_std,rigor_mean,rigor_std,innovation_mean,innovation_std,gap_mean,gap_std,overall_mean,overall_std
d1_b1,49,0.84551,0.093395,0.846939,0.065347,0.732449,0.091373,0.880204,0.061594,0.852245,0.090965,0.831469,0.036638
d1_b4,49,0.844898,0.078171,0.849796,0.067958,0.708776,0.088586,0.88,0.046861,0.843265,0.111673,0.825347,0.039689
d4_b1,49,0.806939,0.092277,0.834286,0.058902,0.695714,0.087715,0.89102,0.045322,0.859184,0.088314,0.817429,0.037638
d4_b4,49,0.843265,0.09186,0.881633,0.042683,0.742857,0.098,0.891837,0.051376,0.852653,0.092224,0.842449,0.033637
