config,n_docs,depth_mean,depth_std,breadth_mean,breadth_std,rigor_mean,rigor_std,innovation_mean,innovation_std,gap_mean,gap_std,overall_mean,overall_std
d1_b1,49,0.438367,0.209629,0.835714,0.160459,0.802857,0.138726,0.905102,0.071432,0.772857,0.176288,0.75098,0.075027
d1_b4,49,0.404898,0.195073,0.833878,0.20213,0.785714,0.139562,0.915714,0.053833,0.76551,0.209889,0.741143,0.073105
d4_b1,49,0.410204,0.206017,0.829388,0.155805,0.777755,0.139038,0.92102,0.035984,0.808367,0.17755,0.749347,0.06652
d4_b4,49,0.393061,0.209316,0.903469,0.103244,0.803878,0.154389,0.939388,0.013763,0.751224,0.2113,0.758204,0.07554
