,o3-mini_orkg_d1_b1,o3-mini_orkg_d1_b4,o3-mini_orkg_d4_b1,o3-mini_orkg_d4_b4,o3_orkg_d1_b1,o3_orkg_d1_b4,o3_orkg_d4_b1,o3_orkg_d4_b4
o3-mini_orkg_d1_b1,100.000000,14.456249,12.376830,4.505761,6.809891,7.904585,7.154625,2.800421
o3-mini_orkg_d1_b4,14.460377,100.000000,15.080596,5.544321,6.950009,10.248188,8.648299,3.715717
o3-mini_orkg_d4_b1,12.458483,15.141164,100.000000,7.258574,7.384402,12.860302,11.060838,5.181532
o3-mini_orkg_d4_b4,7.214288,8.605485,10.170261,100.000000,4.768095,10.904178,10.513044,34.195934
o3_orkg_d1_b1,6.876213,6.995222,7.386384,3.486989,100.000000,12.322907,9.516351,3.929736
o3_orkg_d1_b4,7.957604,10.290222,12.860302,7.789923,12.319858,100.000000,17.638389,7.592563
o3_orkg_d4_b1,7.344878,8.828365,11.127543,8.317036,9.551083,17.742924,100.000000,7.933029
o3_orkg_d4_b4,4.744160,6.087754,7.601484,34.225698,5.614775,11.126866,10.405427,100.000000
