config,n_docs,depth_mean,depth_std,breadth_mean,breadth_std,rigor_mean,rigor_std,innovation_mean,innovation_std,gap_mean,gap_std,overall_mean,overall_std
d1_b1,49,0.61551,0.045628,0.697143,0.072759,0.481429,0.084104,0.669388,0.084404,0.658571,0.108928,0.624408,0.0506
d1_b4,49,0.598776,0.060698,0.742245,0.084739,0.496735,0.082373,0.655306,0.070134,0.61898,0.115321,0.622408,0.052222
d4_b1,49,0.58449,0.076986,0.71449,0.082439,0.458163,0.084363,0.661429,0.068273,0.631633,0.076781,0.610041,0.044086
d4_b4,49,0.613878,0.054989,0.787347,0.06259,0.504082,0.082707,0.670612,0.072207,0.640816,0.105673,0.643347,0.048752
