,o3_orkg_d1_b1,o3_orkg_d1_b4,o3_orkg_d4_b1,o3_orkg_d4_b4,o3-mini_orkg_d1_b1,o3-mini_orkg_d1_b4,o3-mini_orkg_d4_b1,o3-mini_orkg_d4_b4
o3_orkg_d1_b1,0.000000,0.399667,0.400360,0.407116,0.426620,0.424614,0.428863,0.426445
o3_orkg_d1_b4,0.399667,0.000000,0.403672,0.405487,0.428385,0.426253,0.431018,0.426422
o3_orkg_d4_b1,0.400360,0.403672,0.000000,0.405825,0.428522,0.426407,0.429290,0.426672
o3_orkg_d4_b4,0.407116,0.405487,0.405825,0.000000,0.437650,0.434774,0.438791,0.431636
o3-mini_orkg_d1_b1,0.426620,0.428385,0.428522,0.437650,0.000000,0.336257,0.345313,0.353580
o3-mini_orkg_d1_b4,0.424614,0.426253,0.426407,0.434774,0.336257,0.000000,0.345926,0.346613
o3-mini_orkg_d4_b1,0.428863,0.431018,0.429290,0.438791,0.345313,0.345926,0.000000,0.348455
o3-mini_orkg_d4_b4,0.426445,0.426422,0.426672,0.431636,0.353580,0.346613,0.348455,0.000000
