config,n_docs,depth_mean,depth_std,breadth_mean,breadth_std,rigor_mean,rigor_std,innovation_mean,innovation_std,gap_mean,gap_std,overall_mean,overall_std
d1_b1,49,0.524082,0.209274,0.755714,0.144914,0.396122,0.192606,0.668163,0.13745,0.729592,0.22459,0.614735,0.089091
d1_b4,49,0.53,0.217039,0.832449,0.134096,0.415102,0.198886,0.673469,0.158932,0.725102,0.192037,0.635224,0.093137
d4_b1,49,0.556531,0.231098,0.845918,0.14942,0.475306,0.189501,0.685102,0.12372,0.690408,0.225153,0.650653,0.098573
d4_b4,49,0.591633,0.236258,0.899796,0.065823,0.578776,0.224623,0.664082,0.159116,0.676939,0.223161,0.682245,0.091729
