config,n_docs,depth_mean,depth_std,breadth_mean,breadth_std,rigor_mean,rigor_std,innovation_mean,innovation_std,gap_mean,gap_std,overall_mean,overall_std
d1_b1,49,0.542653,0.080933,0.55,0.09154,0.390408,0.084852,0.685102,0.105852,0.580612,0.107141,0.549755,0.063084
d1_b4,49,0.530816,0.077165,0.659388,0.099763,0.399388,0.106893,0.644694,0.099798,0.547551,0.134476,0.556367,0.06175
d4_b1,49,0.540408,0.090508,0.602653,0.11916,0.376327,0.092883,0.648367,0.093336,0.542653,0.099709,0.542082,0.062507
d4_b4,49,0.552041,0.063983,0.702857,0.109563,0.441429,0.082759,0.637551,0.08168,0.594286,0.110009,0.585633,0.063224
