,o3-mini_firecrawl_d1_b4,o3-mini_firecrawl_d4_b1,o3-mini_orkg_d1_b4,o3-mini_orkg_d4_b1,o3_firecrawl_d1_b4,o3_firecrawl_d4_b1,o3_orkg_d1_b4,o3_orkg_d4_b1
o3-mini_firecrawl_d1_b4,0.0000,0.3452,0.3403,0.3496,0.4297,0.4325,0.4259,0.4256
o3-mini_firecrawl_d4_b1,0.3452,0.0000,0.3487,0.3493,0.4365,0.4359,0.4278,0.4303
o3-mini_orkg_d1_b4,0.3403,0.3487,0.0000,0.3459,0.4333,0.4356,0.4263,0.4264
o3-mini_orkg_d4_b1,0.3496,0.3493,0.3459,0.0000,0.4368,0.4380,0.4310,0.4293
o3_firecrawl_d1_b4,0.4297,0.4365,0.4333,0.4368,0.0000,0.4049,0.4070,0.4079
o3_firecrawl_d4_b1,0.4325,0.4359,0.4356,0.4380,0.4049,0.0000,0.4047,0.4085
o3_orkg_d1_b4,0.4259,0.4278,0.4263,0.4310,0.4070,0.4047,0.0000,0.4037
o3_orkg_d4_b1,0.4256,0.4303,0.4264,0.4293,0.4079,0.4085,0.4037,0.0000
