config,n_docs,word_count_mean,word_count_std,word_count_min,word_count_max,char_count_mean,char_count_std,char_count_min,char_count_max,source_count_mean,source_count_std,source_count_min,source_count_max,section_count_mean,section_count_std,section_count_min,section_count_max,sources_per_1k_mean,sources_per_1k_std,sources_per_1k_min,sources_per_1k_max,mechanistic_hits_mean,mechanistic_hits_std,mechanistic_hits_min,mechanistic_hits_max,causal_hits_mean,causal_hits_std,causal_hits_min,causal_hits_max,region_hits_mean,region_hits_std,region_hits_min,region_hits_max,intervention_hits_mean,intervention_hits_std,intervention_hits_min,intervention_hits_max,diversity_hits_mean,diversity_hits_std,diversity_hits_min,diversity_hits_max,services_hits_mean,services_hits_std,services_hits_min,services_hits_max,scales_hits_mean,scales_hits_std,scales_hits_min,scales_hits_max,temporal_precision_mean,temporal_precision_std,temporal_precision_min,temporal_precision_max,stats_hits_mean,stats_hits_std,stats_hits_min,stats_hits_max,uncertainty_hits_mean,uncertainty_hits_std,uncertainty_hits_min,uncertainty_hits_max,speculative_hits_mean,speculative_hits_std,speculative_hits_min,speculative_hits_max,innovation_term_hits_mean,innovation_term_hits_std,innovation_term_hits_min,innovation_term_hits_max,gap_hits_mean,gap_hits_std,gap_hits_min,gap_hits_max,depth_mechanistic_cov_mean,depth_mechanistic_cov_std,depth_mechanistic_cov_min,depth_mechanistic_cov_max,depth_causal_cov_mean,depth_causal_cov_std,depth_causal_cov_min,depth_causal_cov_max,depth_temp_precision_mean,depth_temp_precision_std,depth_temp_precision_min,depth_temp_precision_max,breadth_regions_cov_mean,breadth_regions_cov_std,breadth_regions_cov_min,breadth_regions_cov_max,breadth_interventions_cov_mean,breadth_interventions_cov_std,breadth_interventions_cov_min,breadth_interventions_cov_max,breadth_diversity_cov_mean,breadth_diversity_cov_std,breadth_diversity_cov_min,breadth_diversity_cov_max,breadth_services_cov_mean,breadth_services_cov_std,breadth_services_cov_min,breadth_services_cov_max,breadth_scales_cov_mean,breadth_scales_cov_std,breadth_scales_cov_min,breadth_scales_cov_max,rigor_stats_cov_mean,rigor_stats_cov_std,rigor_stats_cov_min,rigor_stats_cov_max,rigor_uncertainty_cov_mean,rigor_uncertainty_cov_std,rigor_uncertainty_cov_min,rigor_uncertainty_cov_max,innovation_speculative_mean,innovation_speculative_std,innovation_speculative_min,innovation_speculative_max,innovation_terms_cov_mean,innovation_terms_cov_std,innovation_terms_cov_min,innovation_terms_cov_max,gap_score_mean,gap_score_std,gap_score_min,gap_score_max,depth_score_mean,depth_score_std,depth_score_min,depth_score_max,breadth_score_mean,breadth_score_std,breadth_score_min,breadth_score_max,rigor_score_mean,rigor_score_std,rigor_score_min,rigor_score_max,innovation_score_mean,innovation_score_std,innovation_score_min,innovation_score_max,info_density_mean,info_density_std,info_density_min,info_density_max,overall_quality_mean,overall_quality_std,overall_quality_min,overall_quality_max,depth_mean,depth_std,depth_min,depth_max,breadth_mean,breadth_std,breadth_min,breadth_max
d1_b1,49,1587.592,256.809,1197.0,2232.0,12342.02,1755.44,9556.0,17615.0,9.694,1.939,0.0,12.0,12.612,1.681,10.0,16.0,6.272,1.562,0.0,9.531,5.347,2.934,0.0,13.0,3.837,1.951,1.0,9.0,4.245,3.011,0.0,12.0,2.755,2.026,0.0,8.0,4.633,2.751,0.0,11.0,1.061,1.069,0.0,4.0,4.653,1.739,0.0,8.0,0.714,0.104,0.484,1.0,2.163,1.612,0.0,7.0,0.592,0.643,0.0,2.0,0.0,0.0,0.0,0.0,2.551,1.191,1.0,6.0,0.714,0.54,0.0,2.0,0.198,0.109,0.0,0.481,0.183,0.093,0.048,0.429,0.714,0.104,0.484,1.0,0.146,0.104,0.0,0.414,0.095,0.07,0.0,0.276,0.221,0.131,0.0,0.524,0.048,0.049,0.0,0.182,0.517,0.193,0.0,0.889,0.127,0.095,0.0,0.412,0.197,0.214,0.0,0.667,0.0,0.0,0.0,0.0,0.196,0.092,0.077,0.462,0.238,0.18,0.0,0.667,0.348,0.061,0.242,0.459,0.174,0.071,0.0,0.304,0.15,0.102,0.0,0.338,0.088,0.041,0.035,0.208,0.125,0.031,0.0,0.191,0.219,0.044,0.131,0.323,1.0,0.0,1,1,1.0,0.0,1,1
d1_b4,49,1627.49,197.299,1267.0,2071.0,13605.98,1477.197,10516.0,17687.0,30.959,7.722,12.0,43.0,12.306,1.939,8.0,18.0,19.343,5.365,5.938,30.395,5.449,2.458,1.0,12.0,4.143,1.291,2.0,8.0,4.224,2.741,0.0,11.0,2.592,1.87,0.0,7.0,4.265,2.604,0.0,10.0,0.959,1.06,0.0,6.0,4.776,1.759,1.0,9.0,0.829,0.063,0.706,0.949,2.0,1.307,0.0,6.0,0.429,0.54,0.0,2.0,0.0,0.0,0.0,0.0,2.184,1.112,0.0,5.0,0.755,0.63,0.0,2.0,0.202,0.091,0.037,0.444,0.197,0.061,0.095,0.381,0.829,0.063,0.706,0.949,0.146,0.095,0.0,0.379,0.089,0.064,0.0,0.241,0.203,0.124,0.0,0.476,0.044,0.048,0.0,0.273,0.531,0.195,0.111,1.0,0.118,0.077,0.0,0.353,0.143,0.18,0.0,0.667,0.0,0.0,0.0,0.0,0.168,0.086,0.0,0.385,0.252,0.21,0.0,0.667,0.389,0.044,0.312,0.478,0.169,0.07,0.033,0.304,0.126,0.082,0.0,0.378,0.076,0.038,0.0,0.173,0.387,0.107,0.119,0.608,0.226,0.044,0.123,0.329,1.0,0.0,1,1,4.0,0.0,4,4
d4_b1,49,1640.776,218.388,1209.0,2164.0,13552.102,1710.001,10290.0,18845.0,31.449,5.35,18.0,43.0,11.49,1.938,3.0,15.0,19.519,4.214,8.725,26.23,4.51,2.777,0.0,10.0,3.857,1.803,0.0,8.0,3.776,2.608,0.0,13.0,2.388,2.129,0.0,9.0,3.796,2.291,0.0,9.0,1.265,1.455,0.0,8.0,4.347,1.653,1.0,8.0,0.839,0.069,0.65,0.961,1.98,1.392,0.0,6.0,0.408,0.61,0.0,2.0,0.0,0.0,0.0,0.0,2.551,0.98,0.0,5.0,0.776,0.55,0.0,2.0,0.167,0.103,0.0,0.37,0.184,0.086,0.0,0.381,0.839,0.069,0.65,0.961,0.13,0.09,0.0,0.448,0.082,0.073,0.0,0.31,0.181,0.109,0.0,0.429,0.058,0.066,0.0,0.364,0.483,0.184,0.111,0.889,0.116,0.082,0.0,0.353,0.136,0.203,0.0,0.667,0.0,0.0,0.0,0.0,0.196,0.075,0.0,0.385,0.259,0.183,0.0,0.667,0.373,0.054,0.269,0.497,0.155,0.061,0.032,0.316,0.123,0.096,0.0,0.378,0.088,0.034,0.0,0.173,0.39,0.084,0.175,0.525,0.22,0.038,0.151,0.304,4.0,0.0,4,4,1.0,0.0,1,1
d4_b4,49,2233.878,219.771,1741.0,2711.0,24747.49,2438.728,17566.0,30240.0,205.163,34.227,94.0,267.0,11.306,2.238,3.0,18.0,92.382,16.94,52.839,140.149,5.898,3.607,0.0,15.0,3.898,1.597,1.0,8.0,5.184,3.06,0.0,13.0,3.122,2.315,0.0,9.0,4.857,2.784,1.0,10.0,1.102,1.065,0.0,4.0,4.796,2.0,0.0,8.0,0.961,0.017,0.92,0.997,2.49,1.401,0.0,5.0,0.367,0.602,0.0,2.0,0.0,0.0,0.0,0.0,2.429,1.208,0.0,5.0,0.755,0.56,0.0,2.0,0.218,0.134,0.0,0.556,0.186,0.076,0.048,0.381,0.961,0.017,0.92,0.997,0.179,0.106,0.0,0.448,0.108,0.08,0.0,0.31,0.231,0.133,0.048,0.476,0.05,0.048,0.0,0.182,0.533,0.222,0.0,0.889,0.146,0.082,0.0,0.294,0.122,0.201,0.0,0.667,0.0,0.0,0.0,0.0,0.187,0.093,0.0,0.385,0.252,0.187,0.0,0.667,0.431,0.065,0.303,0.581,0.19,0.072,0.012,0.317,0.139,0.079,0.0,0.338,0.084,0.042,0.0,0.173,1.0,0.0,1.0,1.0,0.248,0.045,0.126,0.312,4.0,0.0,4,4,4.0,0.0,4,4
