,o3_orkg_d1_b1,o3_orkg_d1_b4,o3_orkg_d4_b1,o3_orkg_d4_b4,o3-mini_orkg_d1_b1,o3-mini_orkg_d1_b4,o3-mini_orkg_d4_b1,o3-mini_orkg_d4_b4
o3_orkg_d1_b1,0.000000,0.397041,0.397111,0.404726,0.423075,0.421772,0.424494,0.423657
o3_orkg_d1_b4,0.397041,0.000000,0.400198,0.402371,0.424989,0.423496,0.426880,0.423141
o3_orkg_d4_b1,0.397111,0.400198,0.000000,0.402299,0.423420,0.421528,0.423396,0.422189
o3_orkg_d4_b4,0.404726,0.402371,0.402299,0.000000,0.434267,0.431493,0.434217,0.428710
o3-mini_orkg_d1_b1,0.423075,0.424989,0.423420,0.434267,0.000000,0.326434,0.335417,0.345098
o3-mini_orkg_d1_b4,0.421772,0.423496,0.421528,0.431493,0.326434,0.000000,0.334963,0.337332
o3-mini_orkg_d4_b1,0.424494,0.426880,0.423396,0.434217,0.335417,0.334963,0.000000,0.338326
o3-mini_orkg_d4_b4,0.423657,0.423141,0.422189,0.428710,0.345098,0.337332,0.338326,0.000000
